"field_kOe","time_ps","signal"
10,-2.602649,0.00191048
10,-2.335338,0.000821372
10,-2.068027,-0.00247719
10,-1.800716,0.00320379
10,-1.533405,-0.000377447
10,-1.266094,-0.00108704
10,-0.998783,0.000344139
10,-0.731472,0.0204482
10,-0.464161,0.0804783
10,-0.19685,0.206826
10,0.070461,0.424003
10,0.337772,0.718425
10,0.605083,0.961281
10,0.872394,0.999993
10,1.139705,0.944425
10,1.407016,0.870909
10,1.674327,0.779187
10,1.941638,0.700478
10,2.208949,0.641424
10,2.47626,0.598329
10,2.743571,0.564413
10,3.010882,0.528121
10,3.278193,0.49626
10,3.545504,0.470455
10,3.812815,0.446777
10,4.080126,0.430193
10,4.347437,0.418844
10,4.614748,0.406952
10,4.882059,0.390867
10,5.14937,0.378729
10,5.416681,0.367597
10,5.683992,0.359217
10,5.951303,0.343913
10,6.218614,0.331356
10,6.485925,0.320773
10,6.753236,0.30964
10,7.020547,0.30025
10,7.287858,0.298844
10,7.555169,0.292319
10,7.82248,0.286123
10,8.089791,0.281676
10,8.357102,0.272909
10,8.624413,0.270814
10,8.891724,0.261398
10,9.159035,0.255635
10,9.426346,0.253635
10,9.693657,0.251918
10,9.960968,0.254035
10,10.22828,0.249791
10,10.49559,0.2467
10,10.7629,0.241047
10,11.03021,0.239227
10,11.29752,0.235107
10,11.56483,0.229037
10,11.83214,0.220831
10,12.09946,0.218691
10,12.36677,0.210349
10,12.63408,0.205825
10,12.90139,0.198379
10,13.1687,0.192184
10,13.43601,0.189894
10,13.70332,0.186424
10,13.97063,0.179273
10,14.23794,0.17662
10,14.50525,0.17552
10,14.77257,0.172992
10,15.03988,0.169028
10,15.30719,0.167836
10,15.5745,0.162921
10,15.84181,0.161024
10,16.10912,0.153568
10,16.37643,0.14838
10,16.64374,0.143569
10,16.91105,0.139307
10,17.17836,0.133683
10,17.44568,0.131384
10,17.71299,0.127961
10,17.9803,0.126138
10,18.24761,0.118587
10,18.51492,0.111229
10,18.78223,0.11299
10,19.04954,0.106966
10,19.31685,0.102493
10,19.58416,0.102317
10,19.85148,0.097604
10,20.11879,0.0946298
10,20.3861,0.0909565
10,20.65341,0.0879492
10,20.92072,0.0865759
10,21.18803,0.0852844
10,21.45534,0.0818547
10,21.72265,0.0775018
10,21.98996,0.0799385
10,22.25727,0.0755111
10,22.52458,0.0688886
10,22.7919,0.0670876
10,23.05921,0.0664371
10,23.32652,0.0700991
10,23.59383,0.0659395
10,23.86114,0.0710537
10,24.12845,0.0743155
10,24.39576,0.0786601
10,24.66307,0.0716622
10,24.93038,0.0665101
10,25.19769,0.0595448
10,25.46501,0.0629597
10,25.73232,0.0592459
10,25.99963,0.0609756
10,26.26694,0.0601577
10,26.53425,0.0586782
10,26.80156,0.0590815
10,27.06887,0.0567884
10,27.33618,0.0580974
10,27.60349,0.0563597
10,27.8708,0.0538298
